implementation;workload;n;time_total;time_per_op
merge_sort_td;sort_reversed;200000;0.002512022;0.00000001256011
merge_sort_td;sort_almost_sorted;200000;0.004186436;0.00000002093218
quick_lomuto;sort_random;200000;0.009341101;0.000000046705505
quick_lomuto;sort_sorted;200000;9.53417461;0.00004767087305000001
quick_lomuto;sort_reversed;200000;8.884166736;0.00004442083368
quick_lomuto;sort_almost_sorted;200000;0.008512751;0.000000042563755
heap_sort;sort_random;200000;0.013011113;0.000000065055565
heap_sort;sort_sorted;200000;0.006698438;0.00000003349219
heap_sort;sort_reversed;200000;0.007026464;0.000000035132319999999996
heap_sort;sort_almost_sorted;200000;0.007561232;0.00000003780616
counting_sort;sort_random;200000;0.002187122;0.000000010935610000000001
counting_sort;sort_sorted;200000;0.001023811;0.0000000051190549999999995
counting_sort;sort_reversed;200000;0.001311734;0.00000000655867
counting_sort;sort_almost_sorted;200000;0.001490244;0.000000007451219999999999
radix_sort_lsd;sort_random;200000;0.002325808;0.000000011629039999999999
radix_sort_lsd;sort_sorted;200000;0.001106014;0.00000000553007
radix_sort_lsd;sort_reversed;200000;0.00115807;0.00000000579035
radix_sort_lsd;sort_almost_sorted;200000;0.00116875;0.000000005843750000000001
rust_std_sort;sort_random;200000;0.003541815;0.000000017709074999999997
rust_std_sort;sort_sorted;200000;0.000061092;0.00000000030546
rust_std_sort;sort_reversed;200000;0.000076491;0.000000000382455
rust_std_sort;sort_almost_sorted;200000;0.002186841;0.000000010934205000000001
